Artist Name,Print Title,Print ID,Exhibition Venue,Group Name,Exhibition Type,"Curator or Gallerist (you can just put the person's id here. or their name, and I can look up the id myself)","Bio ID (for column G) ** this column is redundant, see previous note",Address,City,State,Zip Code,Country,Exhibition TItle,Start Date,End Date,Citation,Notes,URL
,,,Galerie Rapp,,,,,,Paris,,,France,Centenaire de la lithographie,10/1/1895,11/1/1895,,,
,,,,,,,,,Paris,,,France,Exposition des ouvrages exécutés en Noir et Blanc,,,,,
,,,,,,,,,Paris,,,France,Exposition des Peintres-Graveurs,,,,,
,,,Salle du Figaro,,,,,,Paris,,,France,Exposition des Peintres-Lithographes,,,,,
,,,,,,,,,Paris,,,France,Exposition Générale de la Lithographie,,,,,
,,,La Plume,,,,,,Paris,,,France,Salon des Cent,,,,,
Félix Vallotton,,,La Revue Blanche,,,,,,Paris,,,France,Intimités,,,,,
Théophile Steinlen,,,Boutet de Monvel,,,,,,Paris,,,France,,5/26/1898,5/31/1898,,,
Albert Besnard,,,La Bodinière,,,,,,Paris,,,France,Exposition des dessins et aquarelles de la Revue illustré,1894,1894,,,
Théophile Steinlen,,,La Bodinière,,,,,,Paris,,,France,Paris par ses artistes,1894,1894,,,
Pierre Bonnard,,,Galerie Laffitte,,,,,,Paris,,,France,Exposition d'objets d'art,12/12/1894,1/5/1895,,,
Eugène Béjot,,,Charles Hessèle,,,,,,Paris,,,France,Eaux-fortes originales en couleurs,1899,1899,,,
Théophile Steinlen,,,Charles Hessèle,,,,,,Paris,,,France,Eaux-fortes originales en couleurs,1899,1899,,,
Pierre Bonnard,,,Durand-Ruel,,,,,,Paris,,,France,,3/10/1899,3/31/1899,,,
Hermann-Paul,,,Durand-Ruel,,,,,,Paris,,,France,,3/10/1899,3/31/1899,,,
Félix Vallotton,,,Durand-Ruel,,,,,,Paris,,,France,,3/10/1899,3/31/1899,,,
Odilon Redon,,,Durand-Ruel,,,,,,Paris,,,France,,3/10/1899,3/31/1899,,,
Henri de Toulouse-Lautrec,,,Durand-Ruel,,,,,,Paris,,,France,Exposition H. de Toulouse-Lautrec,5/14/1903,5/31/1903,,,
Félix Bracquemond,,,Durand-Ruel,,,,,,Paris,,,France,Exposition de peintres-graveurs,1/23/1889,2/14/1889,,,
Adolphe Appian,,,Durand-Ruel,,,,,,Paris,,,France,Exposition de peintres-graveurs,1/23/1889,2/14/1889,,,
Félix Bracquemond,,,Durand-Ruel,,,,,,Paris,,,France,Exposition de peintres-graveurs,1/23/1889,2/14/1889,,,
Albert Besnard,,,Durand-Ruel,,,,,,Paris,,,France,Exposition de peintres-graveurs,1/23/1889,2/14/1889,,,
