Artist,Print title,Print ID,Journal title,Address of Journal,Author/Critic,"Bio ID (for column E) ** again this is redundant, just specify either a name or id in the previous column and the db can handle the association",Article title,Year of publication,Volume number,Page number,Notes,URL
,,,,,,,,,,,,
,,,Dépêche de Toulouse,,,,,,,,,
,,,L’Escarmouche,,,,,,,,,
,,,L’Estampe et l’affiche,,André Mellerio,47,,,,,,
,,,L'Estampe et l'affiche,,Noël Clément-Janin,20,,,,,,
,,,L’Estampe moderne,,,,,,,,,
,,,Le Fond de Bain,,,,,,,,,
,,,Journal des Artistes,,Raoul Sertat,76,,,,,,
,,,Les Maîtres de l’affiche,,,,,,,,,
,,,La Plume,,,,,,,,,
,,,La Revue Blanche,,Félix Fénéon,81,,,,,,
,,,Le Rire,,,,,,,,,
,,,Mercure de France,,,,,,,,,
,,,L'Art et l'idée,,,,,,,,,
,,,Le Courrier français,,,,,,,,,
,,,Art et Decoration,,,,,,,,,
,,,L'Estampe moderne,66 Blvd Saint-Michel Paris,Léonce Bénédite,5,,1897-1898,,,,
,,,L'Image,4 rue des Petits Champs,Roger Marx,46,,,,,,
Félix Bracquemond,,,L'Image,,Léonce Bénédite,5,,,,,,
Hermann-Paul,,,L'Image,,,5,,,,,,
Eugène Carrière,,,L'Image,,Roger Marx,46,,,,,,
Johan Jongkind,,,L'Image,,Roger Marx,46,,,,,,
Auguste Rodin,,,L'Image,,Roger Marx,46,,,,,,
Pierre Puvis de Chavannes,,,L'Image,,Roger Marx,46,,,,,,
Théophilee Steinlen,,,Art et Décoration,13 rue Lafayette,,,,1897,,,,
,,,Le Livre et l'image,9 rue de Fleurus,John Grand-Carteret,32,,,,,,
Félix Vallotton,,,Le Livre et l'image,,,,,,,,,
Adolphe Willette,,,Le Livre et l'image,,,,,,,,,
Hermann-Paul,,,Le Livre et l'image,,,,,,,,,
,,,Art et Décoration,,Charles Saunier,139,,,,,,
,,,L'Art décoratif,,Charles Saunier,139,,,,,,
,,,Le Cri de Paris,,Charles Saunier,139,,,,,,
,,,La Plume,,Charles Saunier,139,,,,,,
,,,La Revue blanche,,Charles Saunier,139,,,,,,
