Name,"Role (artist, curator, collector, dealer, printer, publisher, gallerist, critic)",Bio ID -- just the number on this row; it is to be used to link people across tables,"Life/Active Dates (fairly certain these are a separate model in the database, but I will handle that part)",Address,City,State,Zip Code,Country
Arsène Alexandre,critic,1,1859-1937,,Paris,,,France
Ancourt,printer,2,,83 rue du Faubourg Saint Denis,Paris,,,France
Galerie Art Nouveau,gallery,3,1895-1903,27 rue de Provence,Paris,,,France
Louis Le Barc de Boutteville,gallerist,4,died 1896,47 Rue Le Peletier,Paris,,,France
Léonce Bénédite,"critic, curator",5,1859-1925,,Paris,,,France
Henri Béraldi,"critic, collector",6,1849-1931,,Paris,,,France
Albert Besnard,artist,7,1849-1934,,Paris,,,France
Siegfried Bing,curator,8,1838-1905,,Paris,,,France
Léon Blum,critic,9,,,Paris,,,France
La Bodinière,gallery,10,circa 1893-94,"18, rue Saint Lazare",Paris,,,France
Pierre Bonnard,artist,11,1867-1947,,Paris,,,France
Bougerie and Co.,dealer,12,,,Paris,,,France
Gustave Bourcard,"collector, critic",13,1846-1925,,Paris,,,France
Boutet de Monvel,gallery,14,,"8, rue Tronchet",Paris,,,France
Philippe Burty,"critic, curator, collector",15,1830-1890,,Paris,,,France
Alfred Cadart,"publisher, dealer",16,1828-1875,,Paris,,,France
Camis and Company,printer,17,,172 quai de Jemmapes,Paris,,,France
Chaix et Cie,printer,18,,,Paris,,,France
Champenois,printer,19,,66 boulevard Saint Michel,Paris,,,France
Noël Clément-Janin,"critic, collector",20,1862-1947,,Paris,,,France
Auguste Clot,,21,1858-1936,,Paris,,,France
Auguste Delatre,"artist, printer, gallery",22,1822-1907,,Paris,,,France
Loys Delteil,critic,23,1869-1927,,Paris,,,France
Denman Tripp,gallery,24,,,Paris,,,France
Desbois,dealer,25,,7 rue Laffitte,Paris,,,France
Ducourtioux and Huillard,printer,26,,57 rue de Seine,Paris,,,France
Pierre Duffau,dealer,27,,,Paris,,,France
L. Dumont,dealer,28,,27 rue Laffitte,Paris,,,France
