Collector/Collection Name,Bio ID (for column A),Artist,"Print Title ** this is uneeded, any info can be derived form the id",Print ID,Place of Purchase,Date of Purchase,Sale Price,Citation,Notes,URL
Roger Marx,46,Henri de Toulouse-Lautrec,,,,,,,,
Roger Marx,46,Albert Besnard,,,,,,,,
Roger Marx,46,Pierre Bonnard,,,,,,,,
Roger Marx,46,Auguste Lepère,,,,,,,,
Roger Marx,46,Félix Bracquemond,,,,,,,,
Roger Marx,46,Mary Cassatt,,,,,,,,
Roger Marx,46,Armand Rassenfosse,,,,,,,,
Roger Marx,46,Pierre Roche,,,,,,,,
Roger Marx,46,Félix Vallotton,,,,,,,,
Roger Marx,46,Félix Buhot,,,,,,,,
Roger Marx,46,Eugène Grasset,,,,,,,,
Roger Marx,46,Jules Chéret,,,,,,,,
Roger Marx,46,Eugène Béjot,,,,,,,,
Léon Schuck,64,Albert Besnard,,,,,,,,
Léon Schuck,64,Félix Buhot,,,,,,,,
Léon Schuck,64,Eugène Grasset,,,,,,,,
Léon Schuck,64,Henri Guerard,,,,,,,,
Léon Schuck,64,Alexandre Lunois,,,,,,,,
Léon Schuck,64,Odilon Redon,,,,,,,,
Léon Schuck,64,Théophile Steinlen,,,,,,,,
Léon Schuck,64,Félix Vallotton,,,,,,,,
Noël Clément-Janin,20,Odilon Redon,,,,,,,,
Noël Clément-Janin,20,Albert Besnard,,,,,,,,
Noël Clément-Janin,20,Jules Chéret,,,,,,,,
Georges Pochet,53,Jules Chéret,,,,,,,,
Georges Pochet,53,Henri de Toulouse-Lautrec,,,,,,,,
Misia Natanson,80,Félix Vallotton,,,,,,,,
René Philipon,120,Odilon Redon,,,,,,,,
Robert de Domecy,122,Odilon Redon,,,,,,,,
Henri-Marie Petiet,123,Rodolphe Bresdin,,,,,,,,
Henri-Marie Petiet,123,,,,Ambroise Vollard,,,,,
Campbell Dodgson,127,Albert Besnard,,,,,,,,
Robert Danon,128,Albert Besnard,,,,,,,,
Henri-Marie Petiet,123,Albert Besnard,,,,,,,,
Georges Pochet,53,Félicien Rops,,,,,,,,
Georges Pochet,53,Louis Legrand,,,,,,,,
Jacques Doucet,130,Albert Besnard,,,,,,,,
Jacques Doucet,130,Félix Bracquemond,,,,,,,,
Jacques Doucet,130,Edgar Degas,,,,,,,,
Jacques Doucet,130,Auguste Lepère,,,,,,,,
Jacques Doucet,130,Henri de Toulouse-Lautrec,,,,,,,,
Gustave Bourcard,13,Jules Chéret,,,,,,,,
Edmond Sagot,58,Édouard Manet,,,L. Dumont,,,,,
Edmond Sagot,58,Félicien Rops,,,L. Dumont,,,,,
Edmond Sagot,58,Alexandre Lunois,,,L. Dumont,,,,,
Alfred Beurdeley,133,Charles Meryon,,,,,,,,
Alfred Beurdeley,133,Auguste Lepère,,,,,,,,
Alfred Beurdeley,133,Édouard Manet,,,,,,,,
Alfred Beurdeley,133,Alphonse Legros,,,,,,,,
Alfred Beurdeley,133,Henri de Toulouse-Lautrec,,,,,,,,
Alfred Beurdeley,133,Edgar Degas,,,,,,,,
Alfred Beurdeley,133,Mary Cassatt,,,,,,,,
Alfred Beurdeley,133,Albert Besnard,,,,,,,,
Alfred Beurdeley,133,Henri Fantin-Latour,,,,,,,,
Alfred Beurdeley,133,Eugène Carrière,,,,,,,,
Alfred Beurdeley,133,Félix Buhot,,,,,,,,
Alfred Beurdeley,133,Félicien Rops,,,,,,,,
André Barrier,135,Albert Besnard,,,,,,,,
André Barrier,135,Maurice Denis,,,,,,,,
André Barrier,135,Auguste Rodin,,,,,,,,
André Barrier,135,Théophile Steinlen,,,,,,,,
André Barrier,135,Henri Rivière,,,,,,,,
André Barrier,135,Auguste Lepère,,,,,,,,
Francis Edward Bliss,136,Francis Seymour Haden,,,,,,,,
Francis Edward Bliss,136,Auguste Lepère,,,,,,,,
Francis Edward Bliss,136,Théophile Steinlen,,,,,,,,
Francis Edward Bliss,136,Alphonse Legros,,,,,,,,
Francis Edward Bliss,136,Louis Legrand,,,,,,,,
Francis Edward Bliss,136,Camille Pissarro,,,,,,,,
Francis Edward Bliss,136,Albert Besnard,,,,,,,,
Francis Edward Bliss,136,Eugène Carrière,,,,,,,,
Francis Edward Bliss,136,Henri Fantin-Latour,,,,,,,,
Francis Edward Bliss,136,Edgar Degas,,,,,,,,
Francis Edward Bliss,136,Édouard Manet,,,,,,,,
Francis Edward Bliss,136,Adolphe Willette,,,,,,,,
Edwin Alfred Seasongood,137,Albert Besnard,,,,,,,,
Edwin Alfred Seasongood,137,Félix Bracquemond,,,,,,,,
Edwin Alfred Seasongood,137,Mary Cassatt,,,,,,,,
Edwin Alfred Seasongood,137,Félix Buhot,,,,,,,,
Edwin Alfred Seasongood,137,Charles Meryon,,,,,,,,
Edwin Alfred Seasongood,137,Camille Pissarro,,,,,,,,
Edwin Alfred Seasongood,137,Alphonse Legros,,,,,,,,
Edwin Alfred Seasongood,137,Auguste Lepère,,,,,,,,
Alfred Barrion,138,Charles Meryon,,,,,,,,
Alfred Barrion,138,Félix Bracquemond,,,,,,,,
Alfred Barrion,138,Alphonse Legros,,,,,,,,
Alfred Barrion,138,Marcellin Desboutin,,,,,,,,
Alfred Barrion,138,Félicien Rops,,,,,,,,
Alfred Barrion,138,Albert Besnard,,,,,,,,
Alfred Barrion,138,Eugène Carrière,,,,,,,,
Alfred Barrion,138,Alexandre Lunois,,,,,,,,
Alfred Barrion,138,Francis Seymour Haden,,,,,,,,
Alfred Barrion,138,Édouard Manet,,,,,,,,
Alfred Barrion,138,Charles Meryon,,,,,,,,
André Mellerio,47,Henri de Toulouse-Lautrec,,,,,,,,
André Mellerio,47,Pierre Bonnard,,,,,,,,
André Mellerio,47,Édouard Vuillard,,,,,,,,
André Mellerio,47,Odilon Redon,,,,,,,,
Henri Béraldi,6,Charles Meryon,,,,,,,,
Henri Béraldi,6,Félix Bracquemond,,,,,,,,
Henri Béraldi,6,Félix Buhot,,,,,,,,
Henri Béraldi,6,Jules Chéret,,,,,,,,
Henri Béraldi,6,Auguste Lepère,,,,,,,,
Henri Béraldi,6,Édouard Manet,,,,,,,,
Henri Béraldi,6,Alphonse Legros,,,,,,,,
Henri Béraldi,6,James Tissot,,,,,,,,
Henri Béraldi,6,Louis Legrand,,,,,,,,
Henri Béraldi,6,Théophile Steinlen,,,,,,,,
Henri Béraldi,6,Henri de Toulouse-Lautrec,,,,,,,,
Charles Saunier,139,Eugène Béjot,,,,,,,,
Charles Saunier,139,Henri de Toulouse-Lautrec,,,,,,,,
Emile Laffon,140,Pierre Bonnard,,,,,,,,
Emile Laffon,140,Mary Cassatt,,,,,,,,
Emile Laffon,140,Henri Fantin-Latour,,,,,,,,
Emile Laffon,140,Charles Meryon,,,,,,,,
Emile Laffon,140,Camille Pissarro,,,,,,,,
Emile Laffon,140,Odilon Redon,,,,,,,,
Emile Laffon,140,Auguste Rodin,,,,,,,,
Emile Laffon,140,Henri de Toulouse-Lautrec,,,,,,,,
