Artist Name,Print Title,Print ID,Exhibition Venue,Group Name,Exhibition Type,"Curator or Gallerist (you can just put the person's id here. or their name, and I can look up the id myself)","Bio ID (for column G) ** this column is redundant, see previous note",Address,City,State,Zip Code,Country,Exhibition TItle,Start Date,End Date,Citation,Notes,URL
Perle Fine,Weathervane,500,Museum of Modern Art,Atelier 17,Group Show,,43,11 West 53rd Street,New York,NY,10019,United States,Hayter and Studio 17,6/18/1944,10/8/1944,,,
Perle Fine,Calm after Storm,490,Museum of Modern Art,Atelier 17,Group Show,,43,11 West 53rd Street,New York,NY,10019,United States,Hayter and Studio 17,6/18/1944,10/8/1944,,,
Sue Fuller,Sailor's Dream,570,Museum of Modern Art,Atelier 17,Group Show,,49,11 West 53rd Street,New York,NY,10019,United States,Hayter and Studio 17,6/18/1944,10/8/1944,,,
Sue Fuller,Cock,547,Museum of Modern Art,Atelier 17,Group Show,,49,11 West 53rd Street,New York,NY,10019,United States,Hayter and Studio 17,6/18/1944,10/8/1944,,,
Sue Fuller,Mosaic,561,Museum of Modern Art,Atelier 17,Group Show,,49,11 West 53rd Street,New York,NY,10019,United States,Hayter and Studio 17,6/18/1944,10/8/1944,,,
Sue Fuller,The Emperor's Jewels,577,Museum of Modern Art,Atelier 17,Group Show,,49,11 West 53rd Street,New York,NY,10019,United States,Hayter and Studio 17,6/18/1944,10/8/1944,,,
Sue Fuller,The Connoisseur,576,Museum of Modern Art,Atelier 17,Group Show,,49,11 West 53rd Street,New York,NY,10019,United States,Hayter and Studio 17,6/18/1944,10/8/1944,,,
Anne Ryan,Centaur,53,Museum of Modern Art,Atelier 17,Group Show,,5,11 West 53rd Street,New York,NY,10019,United States,Hayter and Studio 17,6/18/1944,10/8/1944,,,
Catherine Yarrow,Head,159,Museum of Modern Art,Atelier 17,Group Show,,7,11 West 53rd Street,New York,NY,10019,United States,Hayter and Studio 17,6/18/1944,10/8/1944,,,
Perle Fine,Weathervane,500,Cincinnati Modern Art Society,Atelier 17,Traveling Show,,43,44 E 6th ,Cincinnati,OH,45202,United States,Hayter and Studio 17,12/2/1944,12/16/1944,“New Directions in Gravure – Hayter Studio 17” at MoMA Archives CE 11.1.86.2.1,,
Perle Fine,Calm after Storm,490,Cincinnati Modern Art Society,Atelier 17,Traveling Show,,43,44 E 6th ,Cincinnati,OH,45202,United States,Hayter and Studio 17,12/2/1944,12/16/1944,“New Directions in Gravure – Hayter Studio 17” at MoMA Archives CE 11.1.86.2.1,,
Sue Fuller,Sailor's Dream,570,Cincinnati Modern Art Society,Atelier 17,Traveling Show,,49,44 E 6th ,Cincinnati,OH,45202,United States,Hayter and Studio 17,12/2/1944,12/16/1944,“New Directions in Gravure – Hayter Studio 17” at MoMA Archives CE 11.1.86.2.1,,
Sue Fuller,Cock,547,Cincinnati Modern Art Society,Atelier 17,Traveling Show,,49,44 E 6th ,Cincinnati,OH,45202,United States,Hayter and Studio 17,12/2/1944,12/16/1944,“New Directions in Gravure – Hayter Studio 17” at MoMA Archives CE 11.1.86.2.1,,
Sue Fuller,Mosaic,561,Cincinnati Modern Art Society,Atelier 17,Traveling Show,,49,44 E 6th ,Cincinnati,OH,45202,United States,Hayter and Studio 17,12/2/1944,12/16/1944,“New Directions in Gravure – Hayter Studio 17” at MoMA Archives CE 11.1.86.2.1,,
Sue Fuller,The Emperor's Jewels,577,Cincinnati Modern Art Society,Atelier 17,Traveling Show,,49,44 E 6th ,Cincinnati,OH,45202,United States,Hayter and Studio 17,12/2/1944,12/16/1944,“New Directions in Gravure – Hayter Studio 17” at MoMA Archives CE 11.1.86.2.1,,
Sue Fuller,The Connoisseur,576,Cincinnati Modern Art Society,Atelier 17,Traveling Show,,49,44 E 6th ,Cincinnati,OH,45202,United States,Hayter and Studio 17,12/2/1944,12/16/1944,“New Directions in Gravure – Hayter Studio 17” at MoMA Archives CE 11.1.86.2.1,,
Anne Ryan,Centaur,53,Cincinnati Modern Art Society,Atelier 17,Traveling Show,,5,44 E 6th ,Cincinnati,OH,45202,United States,Hayter and Studio 17,12/2/1944,12/16/1944,“New Directions in Gravure – Hayter Studio 17” at MoMA Archives CE 11.1.86.2.1,,
Catherine Yarrow,Head,159,Cincinnati Modern Art Society,Atelier 17,Traveling Show,,7,44 E 6th ,Cincinnati,OH,45202,United States,Hayter and Studio 17,12/2/1944,12/16/1944,“New Directions in Gravure – Hayter Studio 17” at MoMA Archives CE 11.1.86.2.1,,
Perle Fine,Weathervane,500,Baltimore Museum of Art,Atelier 17,Traveling Show,,43,10 Museum Drive,Baltimore,MD,21218,United States,Hayter and Studio 17,1/4/1945,1/25/1945,“New Directions in Gravure – Hayter Studio 17” at MoMA Archives CE 11.1.86.2.1,,
Perle Fine,Calm after Storm,490,Baltimore Museum of Art,Atelier 17,Traveling Show,,43,10 Museum Drive,Baltimore,MD,21218,United States,Hayter and Studio 17,1/4/1945,1/25/1945,“New Directions in Gravure – Hayter Studio 17” at MoMA Archives CE 11.1.86.2.1,,
Sue Fuller,Sailor's Dream,570,Baltimore Museum of Art,Atelier 17,Traveling Show,,49,10 Museum Drive,Baltimore,MD,21218,United States,Hayter and Studio 17,1/4/1945,1/25/1945,“New Directions in Gravure – Hayter Studio 17” at MoMA Archives CE 11.1.86.2.1,,
Sue Fuller,Cock,547,Baltimore Museum of Art,Atelier 17,Traveling Show,,49,10 Museum Drive,Baltimore,MD,21218,United States,Hayter and Studio 17,1/4/1945,1/25/1945,“New Directions in Gravure – Hayter Studio 17” at MoMA Archives CE 11.1.86.2.1,,
Sue Fuller,Mosaic,561,Baltimore Museum of Art,Atelier 17,Traveling Show,,49,10 Museum Drive,Baltimore,MD,21218,United States,Hayter and Studio 17,1/4/1945,1/25/1945,“New Directions in Gravure – Hayter Studio 17” at MoMA Archives CE 11.1.86.2.1,,
Sue Fuller,The Emperor's Jewels,577,Baltimore Museum of Art,Atelier 17,Traveling Show,,49,10 Museum Drive,Baltimore,MD,21218,United States,Hayter and Studio 17,1/4/1945,1/25/1945,“New Directions in Gravure – Hayter Studio 17” at MoMA Archives CE 11.1.86.2.1,,
Sue Fuller,The Connoisseur,576,Baltimore Museum of Art,Atelier 17,Traveling Show,,49,10 Museum Drive,Baltimore,MD,21218,United States,Hayter and Studio 17,1/4/1945,1/25/1945,“New Directions in Gravure – Hayter Studio 17” at MoMA Archives CE 11.1.86.2.1,,
Anne Ryan,Centaur,53,Baltimore Museum of Art,Atelier 17,Traveling Show,,5,10 Museum Drive,Baltimore,MD,21218,United States,Hayter and Studio 17,1/4/1945,1/25/1945,“New Directions in Gravure – Hayter Studio 17” at MoMA Archives CE 11.1.86.2.1,,
Catherine Yarrow,Head,159,Baltimore Museum of Art,Atelier 17,Traveling Show,,7,10 Museum Drive,Baltimore,MD,21218,United States,Hayter and Studio 17,1/4/1945,1/25/1945,“New Directions in Gravure – Hayter Studio 17” at MoMA Archives CE 11.1.86.2.1,,
Perle Fine,Weathervane,500,St. Paul Gallery and School of Art,Atelier 17,Traveling Show,,43,,Minneapolis,MN,,United States,Hayter and Studio 17,2/4/1945,2/25/1945,“New Directions in Gravure – Hayter Studio 17” at MoMA Archives CE 11.1.86.2.1,The St. Paul Gallery and School of Art became the Minnesota Museum of American Art in 1992. The institution closed in 2009. ,
Perle Fine,Calm after Storm,490,St. Paul Gallery and School of Art,Atelier 17,Traveling Show,,43,,Minneapolis,MN,,United States,Hayter and Studio 17,2/4/1945,2/25/1945,“New Directions in Gravure – Hayter Studio 17” at MoMA Archives CE 11.1.86.2.1,The St. Paul Gallery and School of Art became the Minnesota Museum of American Art in 1992. The institution closed in 2009. ,
Sue Fuller,Sailor's Dream,570,St. Paul Gallery and School of Art,Atelier 17,Traveling Show,,49,,Minneapolis,MN,,United States,Hayter and Studio 17,2/4/1945,2/25/1945,“New Directions in Gravure – Hayter Studio 17” at MoMA Archives CE 11.1.86.2.1,The St. Paul Gallery and School of Art became the Minnesota Museum of American Art in 1992. The institution closed in 2009. ,
Sue Fuller,Cock,547,St. Paul Gallery and School of Art,Atelier 17,Traveling Show,,49,,Minneapolis,MN,,United States,Hayter and Studio 17,2/4/1945,2/25/1945,“New Directions in Gravure – Hayter Studio 17” at MoMA Archives CE 11.1.86.2.1,The St. Paul Gallery and School of Art became the Minnesota Museum of American Art in 1992. The institution closed in 2009. ,
