Artist,Print title,Print ID,Journal title,Address of Journal,Author/Critic,"Bio ID (for column E) ** again this is redundant, just specify either a name or id in the previous column and the db can handle the association",Article title,Year of publication,Volume number,Page number,Notes,URL
Harriet Berger Nurkse,Figures in a Garden,668,Art News,,E. K. ,"17, 54",Stanley William Hayter's Atelier 17 at Laurel,March 1949,48,43,,
Margaret Cilento,Sea Crab,674,Art News,,E. K. ,"35, 54",Stanley William Hayter's Atelier 17 at Laurel,March 1949,48,43,,
Pennerton West,Amber and Red,480,Art News,,E. K. ,"42, 54",Stanley William Hayter's Atelier 17 at Laurel,March 1949,48,43,,
Louise Bourgeois,Plate 6 from He Disappeared into Complete Silence,675,Magazine of Art,,,29,Louise Bourgeois,December 1948,41,307,,
Louise Bourgeois,Plate 3 from He Disappeared into Complete Silence,676,Magazine of Art,,,29,Louise Bourgeois,December 1948,41,307,,
Minna Citron,Men Seldom Make Passes,430,Art News,,Irvin Haas,"38, 58",The Print Collector,April 1946,45,14,,
Minna Citron,Mime,431,Art News,,Irvin Haas,"38, 58",The Print Collector,April 1946,45,14,,
Sue Fuller,Hen,552,American Prize Prints of the 20th Century,,Albert Reese,49 59,,1949,,61,,
Alice Trumbull Mason,Interference of Closed Forms,10,American Prize Prints of the 20th Century,,Albert Reese,"1, 59",,1949,,137,,
Minna Citron,As Tom Goes Marching to War,382,American Prize Prints of the 20th Century,,Albert Reese,"38, 59",,1949,,42,,
Minna Citron,Stillness,453,Art Digest,,Dore Ashton,"38, 60",Minna Citron at Wittenborn,July 1953,27,13,,
Minna Citron,Construction,391,Art News,,,38,Minna Citron's Construction at New-Age Gallery,September 1947,46,39,,
Minna Citron,Flowering Wilderness,418,Art News,,,38,Minna Citron at Wittenborn,June 1953,52,51,,
Minna Citron,"Variant, 10",461,Art News,,,38,Minna Citron at Wittenborn,June 1953,52,51,,
Minna Citron,Amphitryon,380,Art News,,,38,Minna Citron at Wittenborn,June 1953,52,51,,
Minna Citron,Genesis Eternal,421,Art News,,,38,Minna Citron at the New School for Social Research,October 1950,49,51,,
Minna Citron,Squid Under Pier,450,Art News,,,38,Minna Citron at the New School for Social Research,October 1950,49,51,,
Minna Citron,Trepth,459,Art News,,,38,The Print Collector,March 1948,47,9,,
Minna Citron,Squid Under Pier,450,Art News,,,38,The Print Collector,April 1949,47,14,,
Worden Day,Drought Moon,646,Art News,,,55,Atelier 17 winners,"May 1, 1944",43,7,,
Sue Fuller,Lancelot and Guinevere,558,Art News,,,49,Atelier 17 winners,"May 1, 1944",43,7,,
Worden Day,Tumuli,667,Art Digest,,Dore Aston,"55, 60",Fourteen Contemporaries,February 1952,26,9,,
Worden Day,Incunabula,647,Art Digest,,Dore Aston,"55, 60",Fourteen Contemporaries,February 1952,26,9,,
Worden Day,Mandala II,649,Artists Proof,,Worden Day,55,Experiments in Woodcut,1961,1,26-27,,
Worden Day,Mandala V,648,Artists Proof,,Worden Day,55,Experiments in Woodcut,1961,1,26-27,,
Dorothy Dehner,Things on Strings,235,Art News,,Franklin Porter,"11, 61",Dorothy Dehner at Wittenborn,January 1956,54,67,,
Dorothy Dehner,Aerial to Infinity,232,Art News,,Franklin Porter,"11, 61",Dorothy Dehner at Wittenborn,January 1956,54,67,,
Dorothy Dehner,Things on Strings,235,Arts,,James R. Mellow,"11, 62",One-Man Shows,January 1956,30,58,,
Francine Felsenthal,Observing Person,257,Art News,,Irvin Haas,"15, 58",Check List: New Prints,October 1946,45,16,,
