Name,"Role (artist, curator, collector, dealer, printer, publisher, gallerist, critic)",Bio ID -- just the number on this row; it is to be used to link people across tables,"Life/Active Dates (fairly certain these are a separate model in the database, but I will handle that part)",Address,City,State,Zip Code,Country
Alice Trumbull Mason,Artist,1,1904-1971,,,,,
Alicia Bell Legg,Artist,2,,,,,,
Ana Rosa de Ycaza,Artist,3,b. 1915,,,,,
Anita Heiman,Artist,4,,,,,,
Anne Ryan,Artist,5,1899-1954,,,,,
Anne Wienholt,Artist,6,b. 1920,,,,,
Catherine Yarrow,Artist,7,1904-1990,,,,,
Christine Engler,Artist,8,1919-2004,,,,,
Cynthia Brandts,Artist,9,1924-2006,,,,,
Doris Seidler,Artist,10,1912-2010,,,,,
Dorothy Dehner,Artist,11,1901-1994,,,,,
Ellen Abbey,Artist,12,b. 1923,,,,,
Fannie Hillsmith,Artist,13,1911-2007,,,,,
Frances Mitchell,Artist,14,1888-1983,,,,,
Francine Felsenthal,Artist,15,1922-2000,,,,,
Gwyn Ferris,Artist,16,,,,,,
Harriet Berger Nurkse,Artist,17,1916-1978,,,,,
Helen Phillips,Artist,19,1913-1995,,,,,
Hope Manchester,Artist,20,1907-1976,,,,,
Irene Aronson,Artist,21,"b, 1918",,,,,
Jan Gelb,Artist,22,1906-1978,,,,,
Jean Francksen,Artist,23,b. 1914,,,,,
Jean Morrison,Artist,24,1917-1994,,,,,
Joellen Peet,Artist,25,,,,,,
Lili Garafulic,Artist,26,1914-2012,,,,,
Lillian Orloff,Artist,27,1908-1957,,,,,
Lily Ascher,Artist,28,,,,,,
Louise Bourgeois,Artist,29,1911-2010,,,,,
Louise Nevelson,Artist,30,1899-1988,,,,,
Lucia Quintero,Artist,31,,,,,,
Madelieine Wormser,Artist,32,,,,,,
Margaret Balzer,Artist,33,1914-2002,,,,,
Margaret Cilento,Artist,35,1923-2006,,,,,
Maria Martins,Artist,36,1900-1973,,,,,
Marjean Kettunen,Artist,37,b. 1926,,,,,
Minna Citron,Artist,38,1896-1991,,,,,
Molly Tureske,Artist,39,1909-2002,,,,,
Nina Negri,Artist,40,,,,,,
Norma Morgan,Artist,41,b. 1928,,,,,
Pennerton West,Artist,42,1913-1965,,,,,
Perle Fine,Artist,43,1908-1988,,,,,
Ruth Cyril,Artist,44,1920-1985,,,,,
Ruth Leaf,Artist,45,1923-2015,,,,,
Ryah Ludins,Artist,46,1898-1957,,,,,
Sari Dienes,Artist,47,1892-1992,,,,,
Sherry Martinelli,Artist,48,1918-1996,,,,,
Sue Fuller,Artist,49,1914-2006,,,,,
Teresa Fourpome,Artist,50,1914-1965,,,,,
Terry Haass,Artist,51,b. 1923,,,,,
Vevean Oviette,Artist,52,,,,,,
Virginia Dudley,Artist,53,1913-1981,,,,,
Vivean Oviette,Artist,54,,,,,,
Worden Day,Artist,55,1916-1986,,,,,
Jo Ellen Todd,Artist,56,,,,,,
E. K. ,Critic,57,,,,,,
Irvin Haas,Critic,58,,,,,,
Albert Reese,Critic,59,,,,,,
Dore Ashton,Critic,60,,,,,,
Franklin Porter,Critic,61,,,,,,
James R. Mellow,Critic,62,,,,,,
Harry A. Broadd,Critic,63,,,,,,
Karl Kup,Curator,64,,,,,,
B.H. ,Critic,65,,,,,,
Barbara Guest,Critic,66,,,,,,
Stuart Preston,Critic,67,,,,,,
