Artist,Print title,Year,Medium,Dimensions,Publisher,Print ID -- for internal purposes only; this is used to link prints across each table; think of it as a catalogue raisonné number),Bio ID
Alice Trumbull Mason,Congo,,Etching in color,,,1,1
Alice Trumbull Mason,Congruent Red,,Etching,,,2,1
Alice Trumbull Mason,Cool Arch,,Woodcut,,,3,1
Alice Trumbull Mason,Countervariation,,Etching,,,4,1
Alice Trumbull Mason,Dactyl,,Aquatint,,,5,1
Alice Trumbull Mason,Deep Sound,,,,,6,1
Alice Trumbull Mason,Ellipsis,,Etching,,,7,1
Alice Trumbull Mason,Ghostmark,,Etching,,,8,1
Alice Trumbull Mason,Indicative Displacement,,Soft ground etching,,,9,1
Alice Trumbull Mason,Interference of Closed Forms,,Etching,,,10,1
Alice Trumbull Mason,Intransitive,,Etching,,,11,1
Alice Trumbull Mason,Inverse,,Etching,,,12,1
Alice Trumbull Mason,Labyrinth of Closed Forms,,Etching,,,13,1
Alice Trumbull Mason,Laughter,,Woodcut in color,,,14,1
Alice Trumbull Mason,Lyric Collusion,,Etching,,,15,1
Alice Trumbull Mason,Meanderthal Roturns,,Etching,,,16,1
Alice Trumbull Mason,Nine Triangles,,Color woodcut,,,17,1
Alice Trumbull Mason,Orientation of Closed Forms,,,,,18,1
Alice Trumbull Mason,Passage Tension,,Etching,,,19,1
Alice Trumbull Mason,Penetration,,Etching,,,20,1
Alice Trumbull Mason,Surface Tension,,Soft ground etching,,,21,1
Alice Trumbull Mason,Suspension,,"Etching, soft ground etching, and color relief",,,22,1
Alice Trumbull Mason,The Starry Firmament,,Etching and aquatint,,,23,1
Alice Trumbull Mason,Three Elements,,Etching,,,24,1
Alice Trumbull Mason,Tidal Depths,,Woodcut in color,,,25,1
Alice Trumbull Mason,Tidal Depths on Sekishu,,Color woodcut,,,26,1
Alice Trumbull Mason,Talisman,,,,,27,1
Alice Trumbull Mason,Transition,,Aquatint and soft ground etching in color,,,28,1
Alice Trumbull Mason,Transitive,,Etching,,,29,1
Alice Trumbull Mason,Trinity,,Etching,,,30,1
Alice Trumbull Mason,Twilight,,Woodcut in color,,,31,1
Alice Trumbull Mason,White Burden,,Etching and soft ground etching with stencil,,,32,1
